f0_feature,timestamp,f0_value,f1_feature,f1_value,f2_feature,f2_value
update_count,2005-05-23 23:30:00,538,announcement_count,499,withdrawal_count,11
update_count,2005-05-23 23:31:00,873,announcement_count,785,withdrawal_count,40
update_count,2005-05-23 23:32:00,522,announcement_count,461,withdrawal_count,33
update_count,2005-05-23 23:33:00,573,announcement_count,468,withdrawal_count,56
update_count,2005-05-23 23:34:00,691,announcement_count,642,withdrawal_count,23
update_count,2005-05-23 23:35:00,712,announcement_count,629,withdrawal_count,29
update_count,2005-05-23 23:36:00,838,announcement_count,745,withdrawal_count,69
update_count,2005-05-23 23:37:00,1021,announcement_count,927,withdrawal_count,46
update_count,2005-05-23 23:38:00,744,announcement_count,659,withdrawal_count,57
update_count,2005-05-23 23:39:00,607,announcement_count,502,withdrawal_count,59
update_count,2005-05-23 23:40:00,484,announcement_count,423,withdrawal_count,33
update_count,2005-05-23 23:41:00,897,announcement_count,791,withdrawal_count,56
update_count,2005-05-23 23:42:00,1194,announcement_count,946,withdrawal_count,222
update_count,2005-05-23 23:43:00,293,announcement_count,212,withdrawal_count,33
update_count,2005-05-23 23:44:00,395,announcement_count,356,withdrawal_count,13
update_count,2005-05-23 23:45:00,644,announcement_count,557,withdrawal_count,37
update_count,2005-05-23 23:46:00,659,announcement_count,539,withdrawal_count,94
update_count,2005-05-23 23:47:00,920,announcement_count,817,withdrawal_count,55
update_count,2005-05-23 23:48:00,739,announcement_count,650,withdrawal_count,58
update_count,2005-05-23 23:49:00,991,announcement_count,852,withdrawal_count,93
update_count,2005-05-23 23:50:00,632,announcement_count,576,withdrawal_count,32
update_count,2005-05-23 23:51:00,539,announcement_count,462,withdrawal_count,25
update_count,2005-05-23 23:52:00,874,announcement_count,830,withdrawal_count,18
update_count,2005-05-23 23:53:00,438,announcement_count,394,withdrawal_count,4
update_count,2005-05-23 23:54:00,520,announcement_count,451,withdrawal_count,30
update_count,2005-05-23 23:55:00,540,announcement_count,474,withdrawal_count,38
update_count,2005-05-23 23:56:00,551,announcement_count,474,withdrawal_count,33
update_count,2005-05-23 23:57:00,818,announcement_count,751,withdrawal_count,31
update_count,2005-05-23 23:58:00,599,announcement_count,480,withdrawal_count,79
update_count,2005-05-23 23:59:00,723,announcement_count,612,withdrawal_count,77
update_count,2005-05-24 00:00:00,957,announcement_count,774,withdrawal_count,136
update_count,2005-05-24 00:01:00,760,announcement_count,631,withdrawal_count,97
update_count,2005-05-24 00:02:00,1111,announcement_count,961,withdrawal_count,106
update_count,2005-05-24 00:03:00,1868,announcement_count,1750,withdrawal_count,86
update_count,2005-05-24 00:04:00,1226,announcement_count,753,withdrawal_count,431
update_count,2005-05-24 00:05:00,634,announcement_count,575,withdrawal_count,26
update_count,2005-05-24 00:06:00,787,announcement_count,656,withdrawal_count,87
